spec,error,class,className,method
SSLContextSpec,"Detected call to forbidden method javax.net.ssl.SSLContext getDefault() of class javax.net.ssl.SSLContext. Instead, call method <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.lang.String)>, <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>, <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>.. ForbiddenMethodError violating CrySL rule for javax.net.ssl.SSLContext.",org.apache.spark.SSLOptions,SSLOptions,liftedTree1$1
SSLContextSpec,"First parameter was not properly generated as generated Key Manager. RequiredPredicateError violating CrySL rule for javax.net.ssl.SSLContext.",org.apache.spark.SSLOptions,SSLOptions,liftedTree1$1
SSLContextSpec,"Second parameter was not properly generated as generated Trust Manager. RequiredPredicateError violating CrySL rule for javax.net.ssl.SSLContext.",org.apache.spark.SSLOptions,SSLOptions,liftedTree1$1
SSLContextSpec,"Detected call to forbidden method javax.net.ssl.SSLContext getDefault() of class javax.net.ssl.SSLContext. Instead, call method <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.lang.String)>, <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>, <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>.. ForbiddenMethodError violating CrySL rule for javax.net.ssl.SSLContext.",org.apache.spark.SSLOptions,SSLOptions,<init>
SSLContextSpec,"Detected call to forbidden method javax.net.ssl.SSLContext getDefault() of class javax.net.ssl.SSLContext. Instead, call method <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.lang.String)>, <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>, <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>.. ForbiddenMethodError violating CrySL rule for javax.net.ssl.SSLContext.",org.spark_project.jetty.util.ssl.SslContextFactory,SslContextFactory,dump
KeyManagerFactorySpec,"First parameter was not properly generated as generated Key Store. RequiredPredicateError violating CrySL rule for javax.net.ssl.KeyManagerFactory.",org.spark_project.jetty.util.ssl.SslContextFactory,SslContextFactory,getKeyManagers
KeyManagerFactorySpec,"Second parameter should never be of type java.lang.String.. NeverTypeOfError violating CrySL rule for javax.net.ssl.KeyManagerFactory.",org.spark_project.jetty.util.ssl.SslContextFactory,SslContextFactory,getKeyManagers
KeyManagerFactorySpec,"Second parameter should never be of type java.lang.String.. NeverTypeOfError violating CrySL rule for javax.net.ssl.KeyManagerFactory.",org.spark_project.jetty.util.ssl.SslContextFactory,SslContextFactory,getKeyManagers
TrustManagerFactorySpec,"First parameter was not properly generated as generated Manager Factory Parameters. RequiredPredicateError violating CrySL rule for javax.net.ssl.TrustManagerFactory.",org.spark_project.jetty.util.ssl.SslContextFactory,SslContextFactory,getTrustManagers
PKIXBuilderParametersSpec,"First parameter was not properly generated as generated Key Store. RequiredPredicateError violating CrySL rule for java.security.cert.PKIXBuilderParameters.",org.spark_project.jetty.util.ssl.SslContextFactory,SslContextFactory,getTrustManagers
