spec,class,className,method,message
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__DES_13,CWE327_Use_Broken_Crypto__DES_13,bad,algorithm: DES
rule_R18,testcases.CWE325_Missing_Required_Cryptographic_Step.CWE325_Missing_Required_Cryptographic_Step__MessageDigest_update_12,CWE325_Missing_Required_Cryptographic_Step__MessageDigest_update_12,bad,Random() called
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__SHA1_02,CWE328_Reversible_One_Way_Hash__SHA1_02,bad,algorithm: SHA1
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD2_05,CWE328_Reversible_One_Way_Hash__MD2_05,bad,algorithm: MD2
rule_R18,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD5_12,CWE328_Reversible_One_Way_Hash__MD5_12,bad,Random() called
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__SHA1_05,CWE328_Reversible_One_Way_Hash__SHA1_05,bad,algorithm: SHA1
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD2_14,CWE328_Reversible_One_Way_Hash__MD2_14,bad,algorithm: MD2
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__3DES_09,CWE327_Use_Broken_Crypto__3DES_09,bad,algorithm: DESede
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__DES_16,CWE327_Use_Broken_Crypto__DES_16,bad,algorithm: DES
rule_R18,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__DES_12,CWE327_Use_Broken_Crypto__DES_12,bad,Random() called
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__DES_05,CWE327_Use_Broken_Crypto__DES_05,bad,algorithm: DES
rule_R01,testcases.CWE328_Reversible_One_Way_Hash.CWE328_Reversible_One_Way_Hash__MD5_06,CWE328_Reversible_One_Way_Hash__MD5_06,bad,algorithm: MD5
rule_R02,testcases.CWE327_Use_Broken_Crypto.CWE327_Use_Broken_Crypto__3DES_05,CWE327_Use_Broken_Crypto__3DES_05,bad,algorithm: DESede
