GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spark Project Core,org.apache.spark.security,ShellBasedGroupsMappingProvider,142,0,0,0,6,0,21,0,21,0
Spark Project Core,org.apache.spark.security,CryptoStreamUtils.CryptoHelperChannel,28,0,2,0,7,0,5,0,4,0
Spark Project Core,org.apache.spark.security,CryptoStreamUtils..anonfun.createInitializationVector.new Serializable() {...},54,0,0,0,2,0,2,0,2,0
Spark Project Core,org.apache.spark.security,CryptoStreamUtils.,142,144,1,1,13,27,20,10,19,10
Spark Project Core,org.apache.spark.security,CryptoStreamUtils.CryptoParams,0,31,0,0,0,4,0,4,0,4
Spark Project Core,org.apache.spark.security,CryptoStreamUtils,100,4,0,0,0,0,23,1,23,1
Spark Project Core,org.apache.spark.security,ShellBasedGroupsMappingProvider..anonfun.getGroups.new Serializable() {...},26,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,WorkerWatcher..anonfun.new Serializable() {...},38,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.new Serializable() {...},84,0,8,0,1,0,7,0,3,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.new Serializable() {...},76,0,12,0,2,0,9,0,3,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.new Serializable() {...},15,0,0,0,2,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.new Serializable() {...},5,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.new Serializable() {...},5,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anon.4..anonfun.run.2..anonfun.apply.mcV.sp.new Serializable() {...},7,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.handleExecutorStateChanged.1..anonfun.apply.new Serializable() {...},13,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.handleExecutorStateChanged.1..anonfun.apply.new Serializable() {...},5,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.handleExecutorStateChanged.1..anonfun.apply.new Serializable() {...},12,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.1..anonfun.new Serializable() {...},15,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.1..anonfun.new Serializable() {...},55,0,4,0,6,0,5,0,3,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.1..anonfun.new Serializable() {...},6,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,Worker..anonfun.receive.1..anonfun.new Serializable() {...},6,0,0,0,1,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,CommandUtils..anon.new Thread() {...},40,0,0,0,4,0,2,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,DriverRunner..anonfun.new Serializable() {...},20,0,2,0,1,0,3,0,2,0
Spark Project Core,org.apache.spark.deploy.worker,DriverRunner,611,0,28,0,85,0,64,0,50,0
Spark Project Core,org.apache.spark.deploy.worker,DriverRunner..anon.2..anonfun.sleep.new Serializable() {...},25,0,4,0,3,0,5,0,3,0
Spark Project Core,org.apache.spark.deploy.worker,ExecutorRunner..anonfun.new Serializable() {...},15,0,2,0,1,0,3,0,2,0
