GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Wicket Util,org.apache.wicket.util.string,Entities.MapIntMap,46,0,2,0,12,0,5,0,4,0
Wicket Util,org.apache.wicket.util.string,Entities.BinaryEntityMap,126,0,10,0,31,0,10,0,5,0
Wicket Util,org.apache.wicket.util.string,Entities.ArrayEntityMap,146,0,10,0,33,0,11,0,6,0
Wicket Util,org.apache.wicket.util.string,StringList.new IStringIterator() {...},21,0,0,0,4,0,3,0,3,0
Wicket Util,org.apache.wicket.util.string,Entities.LookupEntityMap,42,0,6,0,11,0,7,0,4,0
Wicket Util,org.apache.wicket.util.string,Entities.PrimitiveEntityMap,44,0,2,0,11,0,5,0,4,0
Wicket Util,org.apache.wicket.util.string,Strings,602,1220,115,197,144,293,83,122,10,32
Wicket Util,org.apache.wicket.util.string,AppendingStringBuffer,961,567,139,63,208,133,119,39,31,26
Wicket Util,org.apache.wicket.util.string,Strings.new PrivilegedAction() {...},0,6,0,0,0,2,0,2,0,2
Wicket Util,org.apache.wicket.util.string,Strings.new HashSet() {...},0,21,0,2,0,5,0,2,0,1
Wicket Util,org.apache.wicket.util.string,StringList,9,236,2,20,1,59,3,31,1,22
Wicket Util,org.apache.wicket.util.string,PrependingStringBuffer,16,156,4,8,5,37,5,11,1,9
Wicket Util,org.apache.wicket.util.string,StringValueConversionException,0,9,0,0,0,4,0,2,0,2
Wicket Util,org.apache.wicket.util.string,StringValue,321,476,39,59,49,105,49,57,12,45
Wicket Util,org.apache.wicket.util.string,Entities.HashEntityMap,9,0,0,0,2,0,1,0,1,0
Wicket Util,org.apache.wicket.util.string,AbstractStringList,65,70,6,4,15,11,6,7,3,5
Wicket Util,org.apache.wicket.util.string,Entities.TreeEntityMap,9,0,0,0,2,0,1,0,1,0
Wicket Util,org.apache.wicket.util.string,StringEscapeUtils,136,0,24,0,47,0,22,0,10,0
Wicket Util,org.apache.wicket.util.string,Entities,3638,0,34,0,110,0,31,0,14,0
Wicket Util,org.apache.wicket.util,LazyInitializer,26,0,4,0,8,0,4,0,2,0
Wicket Util,org.apache.wicket.util,LongEncoder,0,113,0,16,0,22,0,12,0,4
Wicket Util,org.apache.wicket.util,IContextProvider,4,0,0,0,1,0,1,0,1,0
Wicket Util,org.apache.wicket.util,NullProvider,5,0,0,0,2,0,2,0,2,0
Wicket Util,org.apache.wicket.util,ValueProvider,14,0,0,0,5,0,3,0,3,0
