spec,error,class,className,method
SecretKeyFactorySpec,"Operation on object of type javax.crypto.SecretKeyFactory object not completed. Expected call to translateKey, generateSecret. IncompleteOperationError violating CrySL rule for javax.crypto.SecretKeyFactory.",org.apache.activemq.artemis.utils.DefaultSensitiveStringCodec$PBKDF2Algorithm,DefaultSensitiveStringCodec$PBKDF2Algorithm,<init>
PBEKeySpecSpec,"First parameter should never be of type java.lang.String.. NeverTypeOfError violating CrySL rule for javax.crypto.spec.PBEKeySpec.",org.apache.activemq.artemis.utils.DefaultSensitiveStringCodec$PBKDF2Algorithm,DefaultSensitiveStringCodec$PBKDF2Algorithm,encode
PBEKeySpecSpec,"Second parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for javax.crypto.spec.PBEKeySpec.",org.apache.activemq.artemis.utils.DefaultSensitiveStringCodec$PBKDF2Algorithm,DefaultSensitiveStringCodec$PBKDF2Algorithm,encode
PBEKeySpecSpec,"Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword. IncompleteOperationError violating CrySL rule for javax.crypto.spec.PBEKeySpec.",org.apache.activemq.artemis.utils.DefaultSensitiveStringCodec$PBKDF2Algorithm,DefaultSensitiveStringCodec$PBKDF2Algorithm,encode
PBEKeySpecSpec,"Third parameter (with value 0)Variable iterationCountmust be  at least 10000. ConstraintError violating CrySL rule for javax.crypto.spec.PBEKeySpec.",org.apache.activemq.artemis.utils.DefaultSensitiveStringCodec$PBKDF2Algorithm,DefaultSensitiveStringCodec$PBKDF2Algorithm,verify
PBEKeySpecSpec,"Second parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for javax.crypto.spec.PBEKeySpec.",org.apache.activemq.artemis.utils.DefaultSensitiveStringCodec$PBKDF2Algorithm,DefaultSensitiveStringCodec$PBKDF2Algorithm,verify
PBEKeySpecSpec,"Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword. IncompleteOperationError violating CrySL rule for javax.crypto.spec.PBEKeySpec.",org.apache.activemq.artemis.utils.DefaultSensitiveStringCodec$PBKDF2Algorithm,DefaultSensitiveStringCodec$PBKDF2Algorithm,verify
SecretKeySpecSpec,"Second parameter (with value 'Blowfish') should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.spec.SecretKeySpec.",org.apache.activemq.artemis.utils.DefaultSensitiveStringCodec$BlowfishAlgorithm,DefaultSensitiveStringCodec$BlowfishAlgorithm,decode
CipherSpec,"First parameter (with value 'Blowfish') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.apache.activemq.artemis.utils.DefaultSensitiveStringCodec$BlowfishAlgorithm,DefaultSensitiveStringCodec$BlowfishAlgorithm,decode
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.apache.activemq.artemis.utils.DefaultSensitiveStringCodec$BlowfishAlgorithm,DefaultSensitiveStringCodec$BlowfishAlgorithm,decode
SecretKeySpecSpec,"First parameter was not properly generated as prepared Key Material. RequiredPredicateError violating CrySL rule for javax.crypto.spec.SecretKeySpec.",org.apache.activemq.artemis.utils.DefaultSensitiveStringCodec$BlowfishAlgorithm,DefaultSensitiveStringCodec$BlowfishAlgorithm,decode
SecretKeySpecSpec,"First parameter was not properly generated as prepared Key Material. RequiredPredicateError violating CrySL rule for javax.crypto.spec.SecretKeySpec.",org.apache.activemq.artemis.utils.DefaultSensitiveStringCodec$BlowfishAlgorithm,DefaultSensitiveStringCodec$BlowfishAlgorithm,encode
CipherSpec,"First parameter (with value 'Blowfish') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.apache.activemq.artemis.utils.DefaultSensitiveStringCodec$BlowfishAlgorithm,DefaultSensitiveStringCodec$BlowfishAlgorithm,encode
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.apache.activemq.artemis.utils.DefaultSensitiveStringCodec$BlowfishAlgorithm,DefaultSensitiveStringCodec$BlowfishAlgorithm,encode
SecretKeySpecSpec,"Second parameter (with value 'Blowfish') should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.spec.SecretKeySpec.",org.apache.activemq.artemis.utils.DefaultSensitiveStringCodec$BlowfishAlgorithm,DefaultSensitiveStringCodec$BlowfishAlgorithm,encode
