GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ManifoldCF - Framework - Core,org.apache.manifoldcf.core.cachemanager,GeneralCache.InvalidationTable,107,0,10,0,32,0,11,0,6,0
ManifoldCF - Framework - Core,org.apache.manifoldcf.core.cachemanager,BaseDescription,42,0,4,0,12,0,7,0,5,0
ManifoldCF - Framework - Core,org.apache.manifoldcf.core.cachemanager,GeneralCache.ExpirationTreeNode,94,0,6,0,31,0,12,0,9,0
ManifoldCF - Framework - Core,org.apache.manifoldcf.core.cachemanager,GeneralCache.ObjectClassTable,77,0,8,0,22,0,9,0,5,0
ManifoldCF - Framework - Core,org.apache.manifoldcf.core.cachemanager,CacheManager.CacheTransactionHandle,305,0,44,0,92,0,35,0,13,0
ManifoldCF - Framework - Core,org.apache.manifoldcf.core.cachemanager,CacheManager.CacheHandle,36,0,0,0,12,0,6,0,6,0
ManifoldCF - Framework - Core,org.apache.manifoldcf.core.cachemanager,GeneralCache.ExpirationTree,244,0,44,0,85,0,28,0,6,0
ManifoldCF - Framework - Core,org.apache.manifoldcf.core.cachemanager,GeneralCache.ObjectRecordTable,38,0,0,0,10,0,5,0,5,0
ManifoldCF - Framework - Core,org.apache.manifoldcf.core.cachemanager,GeneralCache.ObjectClassRecord,86,0,6,0,27,0,8,0,5,0
ManifoldCF - Framework - Core,org.apache.manifoldcf.core.cachemanager,CacheManager.CacheCreateHandle,24,0,0,0,8,0,4,0,4,0
ManifoldCF - Framework - Core,org.apache.manifoldcf.core.cachemanager,ExecutorBase,3,0,0,0,2,0,1,0,1,0
ManifoldCF - Framework - Core,org.apache.manifoldcf.core.cachemanager,BaseDescription.LocalCacheClass,56,0,6,0,18,0,7,0,4,0
ManifoldCF - Framework - Core,org.apache.manifoldcf.core.cachemanager,GeneralCache,279,0,42,0,84,0,33,0,12,0
ManifoldCF - Framework - Core,org.apache.manifoldcf.core.cachemanager,GeneralCache.ObjectRecord,111,0,2,0,40,0,21,0,20,0
ManifoldCF - Framework - Core,org.apache.manifoldcf.core.cachemanager,CacheManager,1588,0,170,0,331,0,104,0,19,0
ManifoldCF - Framework - Core,org.apache.manifoldcf.core.i18n,MCFVelocityResourceLoader,34,0,2,0,10,0,6,0,5,0
ManifoldCF - Framework - Core,org.apache.manifoldcf.core.i18n,Messages.MessageKey,54,0,8,0,10,0,7,0,3,0
ManifoldCF - Framework - Core,org.apache.manifoldcf.core.i18n,Messages.BundleKey,41,0,6,0,9,0,6,0,3,0
ManifoldCF - Framework - Core,org.apache.manifoldcf.core.i18n,Messages.ResourceKey,54,0,8,0,10,0,7,0,3,0
ManifoldCF - Framework - Core,org.apache.manifoldcf.core.i18n,Messages,633,0,34,0,123,0,32,0,15,0
ManifoldCF - Framework - Core,org.apache.manifoldcf.core.database,Database.Modifications,40,0,0,0,12,0,5,0,5,0
ManifoldCF - Framework - Core,org.apache.manifoldcf.core.database,RRow,29,0,0,0,8,0,5,0,5,0
ManifoldCF - Framework - Core,org.apache.manifoldcf.core.database,ConnectionFactory,194,0,12,0,47,0,13,0,7,0
