GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ActiveMQ Artemis Commons,org.apache.activemq.artemis.utils.actors,ArtemisExecutor,50,5,0,0,14,2,5,2,5,2
ActiveMQ Artemis Commons,org.apache.activemq.artemis.utils.actors,ProcessorBase,71,179,20,26,20,53,17,19,4,9
ActiveMQ Artemis Commons,org.apache.activemq.artemis.utils.actors,OrderedExecutorFactory,40,0,0,0,11,0,5,0,5,0
ActiveMQ Artemis Commons,org.apache.activemq.artemis.utils.actors,Actor,16,0,0,0,7,0,3,0,3,0
ActiveMQ Artemis Commons,org.apache.activemq.artemis.utils.actors,HandlerBase,10,41,2,4,0,11,2,6,0,5
ActiveMQ Artemis Commons,org.apache.activemq.artemis.utils.actors,OrderedExecutor,24,16,0,0,5,8,1,4,1,4
ActiveMQ Artemis Commons,org.apache.activemq.artemis.utils.actors,ArtemisExecutor.new ArtemisExecutor() {...},11,0,0,0,3,0,2,0,2,0
ActiveMQ Artemis Commons,org.apache.activemq.artemis.utils.actors,ArtemisExecutor.new Runnable() {...},13,0,0,0,3,0,2,0,2,0
ActiveMQ Artemis Commons,org.apache.activemq.artemis,ArtemisConstants,3,0,0,0,1,0,1,0,1,0
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQNonExistentQueueException,9,0,0,0,4,0,2,0,2,0
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQInvalidFilterExpressionException,9,0,0,0,4,0,2,0,2,0
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQAddressExistsException,9,0,0,0,4,0,2,0,2,0
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,QueueAttributes,71,0,12,0,23,0,16,0,10,0
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQTransactionOutcomeUnknownException,9,0,0,0,4,0,2,0,2,0
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,Pair,78,51,19,7,13,12,16,5,5,3
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQExceptionType.new ActiveMQExceptionType() {...},5,7,0,0,1,1,1,1,1,1
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQInterruptedException,8,0,0,0,4,0,2,0,2,0
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQExceptionType.new ActiveMQExceptionType() {...},5,7,0,0,1,1,1,1,1,1
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQExceptionType.new ActiveMQExceptionType() {...},5,7,0,0,1,1,1,1,1,1
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQSessionCreationException,9,0,0,0,4,0,2,0,2,0
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQExceptionType.new ActiveMQExceptionType() {...},5,7,0,0,1,1,1,1,1,1
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQExceptionType.new ActiveMQExceptionType() {...},5,7,0,0,1,1,1,1,1,1
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQIllegalStateException,9,0,0,0,4,0,2,0,2,0
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQExceptionType.new ActiveMQExceptionType() {...},5,7,0,0,1,1,1,1,1,1
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQExceptionType.new ActiveMQExceptionType() {...},5,7,0,0,1,1,1,1,1,1
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQExceptionType.new ActiveMQExceptionType() {...},5,7,0,0,1,1,1,1,1,1
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQExceptionType.new ActiveMQExceptionType() {...},5,7,0,0,1,1,1,1,1,1
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQExceptionType.new ActiveMQExceptionType() {...},5,7,0,0,1,1,1,1,1,1
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQExceptionType.new ActiveMQExceptionType() {...},5,7,0,0,1,1,1,1,1,1
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQExceptionType.new ActiveMQExceptionType() {...},5,7,0,0,1,1,1,1,1,1
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQExceptionType.new ActiveMQExceptionType() {...},5,7,0,0,1,1,1,1,1,1
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQExceptionType.new ActiveMQExceptionType() {...},5,7,0,0,1,1,1,1,1,1
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQExceptionType.new ActiveMQExceptionType() {...},5,7,0,0,1,1,1,1,1,1
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQUnexpectedRoutingTypeForAddress,9,0,0,0,4,0,2,0,2,0
ActiveMQ Artemis Commons,org.apache.activemq.artemis.api.core,ActiveMQBuffers,49,9,0,0,11,2,6,2,6,2
