spec,error,class,className,method
SecretKeySpecSpec,"Second parameter (with value 'ARCFOUR') should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.spec.SecretKeySpec.",org.apache.directory.server.kerberos.shared.crypto.checksum.HmacMd5Checksum,HmacMd5Checksum,calculateChecksum
SecretKeySpecSpec,"First parameter was not properly generated as prepared Key Material. RequiredPredicateError violating CrySL rule for javax.crypto.spec.SecretKeySpec.",org.apache.directory.server.kerberos.shared.crypto.checksum.HmacMd5Checksum,HmacMd5Checksum,calculateChecksum
MacSpec,"Unexpected call to method doFinal on object of type javax.crypto.Mac. Expect a call to one of the following methods init. TypestateError violating CrySL rule for javax.crypto.Mac.",org.apache.directory.server.kerberos.shared.crypto.encryption.ArcFourHmacMd5Encryption,ArcFourHmacMd5Encryption,calculateIntegrity
SecretKeySpecSpec,"Second parameter (with value 'ARCFOUR') should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.spec.SecretKeySpec.",org.apache.directory.server.kerberos.shared.crypto.encryption.ArcFourHmacMd5Encryption,ArcFourHmacMd5Encryption,processCipher
SecretKeySpecSpec,"First parameter was not properly generated as prepared Key Material. RequiredPredicateError violating CrySL rule for javax.crypto.spec.SecretKeySpec.",org.apache.directory.server.kerberos.shared.crypto.encryption.ArcFourHmacMd5Encryption,ArcFourHmacMd5Encryption,processCipher
CipherSpec,"First parameter (with value 'ARCFOUR') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",org.apache.directory.server.kerberos.shared.crypto.encryption.ArcFourHmacMd5Encryption,ArcFourHmacMd5Encryption,processCipher
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",org.apache.directory.server.kerberos.shared.crypto.encryption.ArcFourHmacMd5Encryption,ArcFourHmacMd5Encryption,processCipher
SecretKeySpecSpec,"Second parameter (with value 'DESede') should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.spec.SecretKeySpec.",org.apache.directory.server.kerberos.shared.crypto.encryption.Des3CbcSha1KdEncryption,Des3CbcSha1KdEncryption,processCipher
SecretKeySpecSpec,"First parameter was not properly generated as prepared Key Material. RequiredPredicateError violating CrySL rule for javax.crypto.spec.SecretKeySpec.",org.apache.directory.server.kerberos.shared.crypto.encryption.Des3CbcSha1KdEncryption,Des3CbcSha1KdEncryption,processCipher
IvParameterSpecSpec,"First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for javax.crypto.spec.IvParameterSpec.",org.apache.directory.server.kerberos.shared.crypto.encryption.Des3CbcSha1KdEncryption,Des3CbcSha1KdEncryption,processCipher
