GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.apReq.actions,ApReqInit,14,22,1,1,2,8,1,3,0,3
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.apReq.actions,StorePvno,0,9,0,0,0,4,0,2,0,2
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.apReq.actions,StoreApOptions,18,34,2,2,3,11,2,3,0,3
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.apReq.actions,StoreAuthenticator,0,12,0,0,0,5,0,2,0,2
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.apReq.actions,CheckMsgType,0,5,0,0,0,2,0,1,0,1
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.apReq.actions,StoreTicket,21,54,2,2,5,17,2,3,0,3
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.asReq.actions,StoreKdcReq,9,79,2,4,2,23,2,4,0,3
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.kdcRep.actions,CheckMsgType,0,4,0,0,0,2,0,1,0,1
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.kdcRep.actions,StoreCRealm,0,9,0,0,0,4,0,2,0,2
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.kdcRep.actions,StoreCName,0,9,0,0,0,4,0,2,0,2
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.kdcRep.actions,StoreEncPart,0,12,0,0,0,5,0,2,0,2
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.kdcRep.actions,StoreTicket,21,54,2,2,5,17,2,3,0,3
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.kdcRep.actions,AddPaData,21,58,2,2,5,19,2,3,0,3
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.kdcRep.actions,StorePvno,0,9,0,0,0,4,0,2,0,2
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.hostAddresses,HostAddressesGrammar,0,60,0,0,0,11,0,3,0,3
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.hostAddresses,HostAddressesContainer,0,22,0,0,0,8,0,3,0,3
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.hostAddresses,HostAddressesStatesEnum,22,49,5,1,6,6,7,2,4,2
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.actions,AbstractReadHostAddresses,21,54,2,2,5,17,2,3,0,3
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.actions,AbstractReadHostAddress,21,54,2,2,5,17,2,3,0,3
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.actions,AbstractReadRealm,10,45,1,3,1,13,1,4,0,3
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.actions,AbstractReadEncryptedPart,10,74,1,3,1,22,1,4,0,3
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.actions,AbstractReadAuthorizationData,10,67,1,3,1,20,1,4,0,3
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.actions,AbstractReadPrincipalName,10,67,1,3,1,20,1,4,0,3
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.actions,AbstractReadEncryptionKey,13,64,1,3,3,18,1,4,0,3
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.actions,AbstractReadPvno,50,49,2,4,7,15,2,4,0,3
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.actions,AbstractReadCheckSum,27,50,2,2,5,16,2,3,0,3
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.actions,AbstractReadKerberosTime,19,52,1,3,4,15,1,4,0,3
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.actions,AbstractReadMsgType,38,109,3,11,6,28,3,8,0,4
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.authorizationData,AuthorizationDataGrammar,0,143,0,0,0,19,0,3,0,3
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.authorizationData,AuthorizationDataStatesEnum,22,89,5,1,6,10,7,2,4,2
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.authorizationData,AuthorizationDataContainer,0,16,0,0,0,7,0,3,0,3
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.encApRepPart.actions,StoreCTime,0,9,0,0,0,4,0,2,0,2
ApacheDS Protocol Kerberos Codec,org.apache.directory.shared.kerberos.codec.encApRepPart.actions,EncApRepPartInit,3,41,1,3,1,12,1,4,0,3
