GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.resourceloader,InjectableResourceProducer,13,80,5,3,5,23,4,7,0,7
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.resourceloader,ResourceLoaderExtension,26,0,0,0,6,0,3,0,3,0
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,EnvironmentPropertyConfigSourceProvider,19,55,1,5,3,13,1,5,0,3
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,ConfigurationExtension.DynamicBean,0,55,0,0,0,16,0,12,0,12
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,ProxyConfigurationLifecycle.ConfigurationHandler,49,235,16,36,14,61,16,12,0,2
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,SystemPropertyConfigSource,0,9,0,0,0,4,0,2,0,2
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,ProxyConfigurationLifecycle.DefaultSupplier,0,10,0,0,0,4,0,2,0,2
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,DeltaSpikeConfigInfo.ConfigEntry,24,0,0,0,8,0,4,0,4,0
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,DefaultConfigPropertyProducer,44,30,0,0,7,6,3,6,3,6
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,MapConfigSource,11,12,0,0,5,4,3,2,3,2
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,BaseConfigSource,13,31,0,2,2,10,0,4,0,3
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,ProxyConfigurationLifecycle,4,41,1,1,0,9,1,3,0,3
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,LocalJndiConfigSource,25,26,1,1,6,9,2,5,1,5
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,PropertyFileConfigSource,0,15,0,0,0,5,0,2,0,2
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,ConfigurationExtension,208,473,31,43,46,117,24,32,0,19
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,EnvironmentPropertyConfigSource,3,26,3,1,0,9,2,4,0,4
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,DeltaSpikeConfigInfo,439,6,16,0,73,3,14,1,6,1
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,ConfigurationExtension.DynamicBeanProducer,0,9,0,0,0,2,0,2,0,2
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,PropertiesConfigSource,0,40,0,2,0,10,0,5,0,4
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,DefaultConfigSourceProvider,14,119,2,6,2,30,2,7,0,5
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,ProxyConfigurationLifecycle.ConfigurationHandler.new ProxyConfigurationLifecycle.Supplier() {...},0,17,0,0,0,2,0,2,0,2
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.config,ProxyConfigurationLifecycle.ConfigurationHandler.new BaseConfigPropertyProducer() {...},0,6,0,0,0,1,0,1,0,1
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.lock,LockSupplierStorage,28,130,4,12,6,29,4,7,0,3
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.lock,DefaultLockedStrategy,0,16,0,0,0,4,0,2,0,2
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.lock,LockSupplierStorage.new LockSupplier() {...},9,46,0,2,3,5,0,3,0,2
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.lock,LockSupplierStorage.new LockSupplier() {...},0,15,0,0,0,3,0,2,0,2
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.lock,LockedInterceptor,0,8,0,0,0,2,0,2,0,2
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.jmx,Operation,0,15,0,0,0,6,0,3,0,3
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.jmx,DynamicMBeanWrapper.MBeanFeatureInfoSorter,0,11,0,0,0,2,0,2,0,2
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.jmx,AttributeAccessor,10,40,2,2,2,11,2,4,0,4
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.jmx,JmxBroadcasterLifecycle,10,0,0,0,5,0,3,0,3,0
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.jmx,MBeanExtension,27,298,14,26,7,61,12,19,0,11
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.jmx,DynamicMBeanWrapper,380,698,35,53,67,135,30,29,3,12
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.jmx,BroadcasterProducer,23,16,1,1,3,5,1,2,0,2
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.throttling,InvokerStorage,33,140,7,19,6,34,7,9,0,3
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.throttling,DefaultThrottledStrategy,0,10,0,0,0,2,0,2,0,2
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.throttling,Invoker,13,68,0,4,6,14,1,4,1,2
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.throttling,ThrottledInterceptor,0,8,0,0,0,2,0,2,0,2
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.scope.conversation,ConversationBeanHolder,0,3,0,0,0,1,0,1,0,1
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.scope.conversation,ConversationKey,105,88,21,15,25,22,16,8,1,5
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.scope.conversation,GroupedConversationArtifactProducer,0,22,0,0,0,5,0,3,0,3
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.scope.conversation,GroupedConversationContext,18,201,3,19,4,48,4,17,1,9
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.scope.conversation,InjectableGroupedConversation,0,27,0,0,0,8,0,2,0,2
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.scope.conversation,InjectableGroupedConversationManager,8,27,1,1,2,9,1,5,0,5
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.future,ThreadPoolManager,191,331,19,19,41,69,16,7,1,3
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.future,DefaultFutureableStrategy,89,149,24,10,20,45,15,6,0,4
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.future,DefaultFutureableStrategy.CallKey,76,0,20,0,11,0,14,0,4,0
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.future,J8PromiseCompanionTask,47,62,0,0,15,18,0,3,0,3
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.future,DefaultFutureableStrategy.new Callable() {...},34,40,6,4,8,10,5,2,0,2
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.future,DefaultFutureableStrategy.new ThreadLocal() {...},4,3,0,0,1,1,1,1,1,1
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.future,FutureableInterceptor,0,8,0,0,0,2,0,2,0,2
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.exception.control,DefaultExceptionEvent,8,64,1,1,2,27,2,13,1,13
Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.exception.control,ExceptionHandlerBroadcaster,49,293,9,33,9,74,8,21,0,3
