spec,error,class,className,method,cwe
1,"Found: ""AES""",CipherExample03,CipherExample03,-,327
1,"Found: ""AES""",CipherExample04,CipherExample04,-,327
1,"Found: ""AES""",CipherExample06,CipherExample06,-,327
1,"Found: ""Blowfish/CFB8/NoPadding""",CipherExample08,CipherExample08,-,327
1,"Found: ""Blowfish/CFB8/NoPadding""",CipherExample08,CipherExample08,-,327
1,"Found: ""Blowfish/CFB8/NoPadding""",CipherExample11,CipherExample11,-,327
1,"Found: ""Blowfish/CFB8/NoPadding""",CipherExample11,CipherExample11,-,327
1,"Found: ""DES""",CipherExample02,CipherExample02,-,327
1,"Found: ""des""",CipherExample07,CipherExample07,-,327
1,"Found: ""des""",CipherExample12,CipherExample12,-,327
10,"Found: ""ABCDEFGHI""",StashStaticIV,StashStaticIV,-,329
10,"Found: ""Hello""",BaseStaticIV,BaseStaticIV,-,329
11,"Found: ""Seed""",SecureRand01,SecureRand01,-,338
11,"Found: ""Seed""",SecureRand02,SecureRand02,-,338
11,"Found: ""Seed""",SecureRand03,SecureRand03,-,338
2,"Found: ""MD5""",MD01,MD01,-,328
2,"Found: ""MD5""",MD02,MD02,-,328
2,"Found: ""MD5""",MD06,MD06,-,328
2,"Found: ""md5""",MD03,MD03,-,328
2,"Found: ""md5""",MD04,MD04,-,328
2,"Found: ""md5""",MD07,MD07,-,328
