spec,cwe,error,class,className,method
CipherSpec,327,"First parameter (with value 'AES') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",com.minimals.cipher.baseCase.CipherExample04,CipherExample04,main
CipherSpec,327,"First parameter (with value 'AES') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",com.minimals.cipher.baseCaseVariable.CipherExample06,CipherExample06,main
CipherSpec,327,"First parameter (with value 'Blowfish/CFB8/NoPadding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",com.minimals.cipher.insecureBlowFish.CipherExample08,CipherExample08,main
CipherSpec,327,"First parameter (with value 'Blowfish/CFB8/NoPadding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",com.minimals.cipher.secureBlowFish.CipherExample11,CipherExample11,main
CipherSpec,327,"First parameter (with value 'DES') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",com.minimals.cipher.baseCaseInterProc.CipherExample05,CipherExample05,main
CipherSpec,327,"First parameter (with value 'des') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",com.minimals.cipher.differentCase.CipherExample07,CipherExample07,main
CipherSpec,327,Second parameter was not properly generated as generatedKey. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.,com.minimals.cipher.KeyToAlgoDES.CipherExample10,CipherExample10,main
CipherSpec,327,Second parameter was not properly generated as generatedKey. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.,com.minimals.cipher.aesGCMNoPaddingReplaceDES.CipherExample02,CipherExample02,runCipher
CipherSpec,327,Second parameter was not properly generated as generatedKey. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.,com.minimals.cipher.aesStringReplace.CipherExample03,CipherExample03,runCipher
CipherSpec,327,Second parameter was not properly generated as generatedKey. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.,com.minimals.cipher.baseCaseInterProc.CipherExample05,CipherExample05,runCipher
CipherSpec,327,Second parameter was not properly generated as generatedKey. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.,com.minimals.cipher.differentCase.CipherExample07,CipherExample07,runCipher
CipherSpec,327,Second parameter was not properly generated as generatedKey. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.,com.minimals.cipher.insecureBlowFish.CipherExample08,CipherExample08,main
CipherSpec,327,Second parameter was not properly generated as generatedKey. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.,com.minimals.cipher.secureBlowFish.CipherExample11,CipherExample11,main
CipherSpec,327,Second parameter was not properly generated as generatedKey. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.,com.minimals.cipher.stringCaseTransform.CipherExample12,CipherExample12,runCipher
CipherSpec,327,Second parameter was not properly generated as generatedKey. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.,com.minimals.cipher.stringReplace.CipherExample13,CipherExample13,runCipher
IvParameterSpecSpec,329,First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for javax.crypto.spec.IvParameterSpec.,com.minimals.iv.baseCase.BaseStaticIV,BaseStaticIV,main
IvParameterSpecSpec,329,First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for javax.crypto.spec.IvParameterSpec.,com.minimals.iv.complexCase.ComplexStaticIV,ComplexStaticIV,main
IvParameterSpecSpec,329,First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for javax.crypto.spec.IvParameterSpec.,com.minimals.iv.stash.StashStaticIV,StashStaticIV,main
IvParameterSpecSpec,329,First parameter was not properly generated as randomized. RequiredPredicateError violating CrySL rule for javax.crypto.spec.IvParameterSpec.,com.minimals.iv.timeCase.CurrentTimeIV,CurrentTimeIV,main
KeyGeneratorSpec,327,"First parameter (with value 'Blowfish') should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",com.minimals.cipher.insecureBlowFish.CipherExample08,CipherExample08,main
