spec,error,class,className,method
IvParameterSpecSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench03.iv.stash.StashStaticIV,StashStaticIV,main
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench03.cipher.stringCaseTransform.CipherExample12,CipherExample12,runCipher
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench03.cipher.KeyToAlgoDES.CipherExample10,CipherExample10,main
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench03.md.stringReplace.MD08,MD08,main
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench03.md.stringCaseTransformation.MD07,MD07,main
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench03.cipher.secureBlowFish.CipherExample11,CipherExample11,main
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench03.cipher.insecureBlowFish.CipherExample08,CipherExample08,main
SSLContextSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench03.ssl.context.baseCase.ContextOfSSL,ContextOfSSL,main
IvParameterSpecSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench03.iv.baseCase.BaseStaticIV,BaseStaticIV,main
SecureRandomSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench03.random.basecase_seedconstructor.SecureRand03,SecureRand03,main
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench03.md.complexCase.MD03,MD03,main
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench03.md.stringCaseTransformation.MD07,MD07,main
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench03.md.interprocedureCase.MD05,MD05,main
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench03.cipher.KeyToAlgoAES.CipherExample09,CipherExample09,main
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench03.md.baseCaseVariable.MD02,MD02,main
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench03.cipher.stringCaseTransform.CipherExample12,CipherExample12,runCipher
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench03.cipher.aesGCMNoPaddingReplaceDES.CipherExample02,CipherExample02,runCipher
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench03.cipher.differentCase.CipherExample07,CipherExample07,runCipher
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench03.cipher.aesStringReplace.CipherExample03,CipherExample03,runCipher
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench03.md.baseCase.MD01,MD01,main
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench03.md.complexCase.MD03,MD03,main
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench03.cipher.KeyToAlgoDES.CipherExample10,CipherExample10,main
CipherSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench03.cipher.baseCaseVariable.CipherExample06,CipherExample06,runCipher
