spec,cwe,class,className,method,location,error,expecting
CipherSpec,327,com.minimals.cipher.KeyToAlgoAES.CipherExample09,CipherExample09,main,CipherExample09.java:17,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,com.minimals.cipher.KeyToAlgoAES.CipherExample09,CipherExample09,main,CipherExample09.java:17,UnsafeAlgorithm,"expecting one of {AES/CBC/PKCS5Padding, AES/PCBC/ISO10126Padding, ...} but found AES."
CipherSpec,327,com.minimals.cipher.KeyToAlgoAES.CipherExample09,CipherExample09,main,CipherExample09.java:18,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,com.minimals.cipher.KeyToAlgoDES.CipherExample10,CipherExample10,main,CipherExample10.java:18,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,com.minimals.cipher.aesGCMNoPaddingReplaceDES.CipherExample02,CipherExample02,runCipher,CipherExample02.java:16,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,com.minimals.cipher.aesStringReplace.CipherExample03,CipherExample03,runCipher,CipherExample03.java:16,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,com.minimals.cipher.baseCase.CipherExample04,CipherExample04,runCipher,CipherExample04.java:15,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,com.minimals.cipher.baseCase.CipherExample04,CipherExample04,runCipher,CipherExample04.java:15,UnsafeAlgorithm,"expecting one of {AES/CBC/PKCS5Padding, AES/PCBC/ISO10126Padding, ...} but found AES."
CipherSpec,327,com.minimals.cipher.baseCase.CipherExample04,CipherExample04,runCipher,CipherExample04.java:16,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,com.minimals.cipher.baseCaseInterProc.CipherExample05,CipherExample05,runCipher,CipherExample05.java:32,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,com.minimals.cipher.baseCaseVariable.CipherExample06,CipherExample06,runCipher,CipherExample06.java:16,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,com.minimals.cipher.baseCaseVariable.CipherExample06,CipherExample06,runCipher,CipherExample06.java:16,UnsafeAlgorithm,"expecting one of {AES/CBC/PKCS5Padding, AES/PCBC/ISO10126Padding, ...} but found AES."
CipherSpec,327,com.minimals.cipher.baseCaseVariable.CipherExample06,CipherExample06,runCipher,CipherExample06.java:17,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,com.minimals.cipher.differentCase.CipherExample07,CipherExample07,runCipher,CipherExample07.java:16,InvalidSequenceOfMethodCalls,unknown
