spec,CWE,class,className,method,location,error,expecting
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00005,BenchmarkTest00005,doPost,BenchmarkTest00005.java:86,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00019,BenchmarkTest00019,doPost,BenchmarkTest00019.java:72,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00020,BenchmarkTest00020,doPost,BenchmarkTest00020.java:81,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00035,BenchmarkTest00035,doPost,BenchmarkTest00035.java:87,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00050,BenchmarkTest00050,doPost,BenchmarkTest00050.java:82,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00053,BenchmarkTest00053,doPost,BenchmarkTest00053.java:108,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00055,BenchmarkTest00055,doPost,BenchmarkTest00055.java:101,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00056,BenchmarkTest00056,doPost,BenchmarkTest00056.java:111,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00057,BenchmarkTest00057,doPost,BenchmarkTest00057.java:106,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00119,BenchmarkTest00119,doPost,BenchmarkTest00119.java:109,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00120,BenchmarkTest00120,doPost,BenchmarkTest00120.java:93,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00123,BenchmarkTest00123,doPost,BenchmarkTest00123.java:87,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00124,BenchmarkTest00124,doPost,BenchmarkTest00124.java:92,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00125,BenchmarkTest00125,doPost,BenchmarkTest00125.java:87,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00208,BenchmarkTest00208,doPost,BenchmarkTest00208.java:102,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00210,BenchmarkTest00210,doPost,BenchmarkTest00210.java:100,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00254,BenchmarkTest00254,doPost,BenchmarkTest00254.java:98,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00256,BenchmarkTest00256,doPost,BenchmarkTest00256.java:99,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00257,BenchmarkTest00257,doPost,BenchmarkTest00257.java:90,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00258,BenchmarkTest00258,doPost,BenchmarkTest00258.java:89,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00354,BenchmarkTest00354,doPost,BenchmarkTest00354.java:81,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00355,BenchmarkTest00355,doPost,BenchmarkTest00355.java:94,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00356,BenchmarkTest00356,doPost,BenchmarkTest00356.java:79,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00445,BenchmarkTest00445,doPost,BenchmarkTest00445.java:106,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00446,BenchmarkTest00446,doPost,BenchmarkTest00446.java:91,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00448,BenchmarkTest00448,doPost,BenchmarkTest00448.java:83,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00449,BenchmarkTest00449,doPost,BenchmarkTest00449.java:81,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00521,BenchmarkTest00521,doPost,BenchmarkTest00521.java:103,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00522,BenchmarkTest00522,doPost,BenchmarkTest00522.java:101,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00608,BenchmarkTest00608,doPost,BenchmarkTest00608.java:96,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00609,BenchmarkTest00609,doPost,BenchmarkTest00609.java:88,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00610,BenchmarkTest00610,doPost,BenchmarkTest00610.java:107,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00611,BenchmarkTest00611,doPost,BenchmarkTest00611.java:91,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00614,BenchmarkTest00614,doPost,BenchmarkTest00614.java:94,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00615,BenchmarkTest00615,doPost,BenchmarkTest00615.java:90,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00616,BenchmarkTest00616,doPost,BenchmarkTest00616.java:76,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00617,BenchmarkTest00617,doPost,BenchmarkTest00617.java:77,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00684,BenchmarkTest00684,doPost,BenchmarkTest00684.java:86,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00685,BenchmarkTest00685,doPost,BenchmarkTest00685.java:90,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00688,BenchmarkTest00688,doPost,BenchmarkTest00688.java:91,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00691,BenchmarkTest00691,doPost,BenchmarkTest00691.java:94,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00692,BenchmarkTest00692,doPost,BenchmarkTest00692.java:84,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00693,BenchmarkTest00693,doPost,BenchmarkTest00693.java:87,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00779,BenchmarkTest00779,doPost,BenchmarkTest00779.java:106,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00781,BenchmarkTest00781,doPost,BenchmarkTest00781.java:106,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00853,BenchmarkTest00853,doPost,BenchmarkTest00853.java:86,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00855,BenchmarkTest00855,doPost,BenchmarkTest00855.java:93,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00856,BenchmarkTest00856,doPost,BenchmarkTest00856.java:103,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00857,BenchmarkTest00857,doPost,BenchmarkTest00857.java:102,InvalidSequenceOfMethodCalls,unknown
CipherSpec,327,org.owasp.benchmark.testcode.BenchmarkTest00859,BenchmarkTest00859,doPost,BenchmarkTest00859.java:80,InvalidSequenceOfMethodCalls,unknown
