Spec,class,className,method,message
rule_R18,org.owasp.benchmark.testcode.BenchmarkTest01357,BenchmarkTest01357,doPost,Random() called
rule_R01,org.owasp.benchmark.testcode.BenchmarkTest00634,BenchmarkTest00634,doPost,algorithm: SHA1
rule_R01,org.owasp.benchmark.testcode.BenchmarkTest00634,BenchmarkTest00634,doGet,algorithm: SHA1
rule_R01,org.owasp.benchmark.testcode.BenchmarkTest02573,BenchmarkTest02573,doPost,algorithm: SHA1
rule_R01,org.owasp.benchmark.testcode.BenchmarkTest02573,BenchmarkTest02573,doGet,algorithm: SHA1
rule_R01,org.owasp.benchmark.testcode.BenchmarkTest00374,BenchmarkTest00374,doPost,algorithm: MD5
rule_R18,org.owasp.benchmark.testcode.BenchmarkTest01677,BenchmarkTest01677,doPost,Random() called
rule_R18,org.owasp.benchmark.testcode.BenchmarkTest01677,BenchmarkTest01677,doGet,Random() called
rule_R01,org.owasp.benchmark.testcode.BenchmarkTest02475,BenchmarkTest02475,doPost,algorithm: MD5
rule_R01,org.owasp.benchmark.testcode.BenchmarkTest01580,BenchmarkTest01580,doPost,algorithm: MD5
rule_R02,org.owasp.benchmark.testcode.BenchmarkTest01489,BenchmarkTest01489,doPost,algorithm: DES/ECB/PKCS5Padding
rule_R01,org.owasp.benchmark.testcode.BenchmarkTest01649,BenchmarkTest01649,doPost,algorithm: SHA1
rule_R01,org.owasp.benchmark.testcode.BenchmarkTest01649,BenchmarkTest01649,doGet,algorithm: SHA1
rule_R18,org.owasp.benchmark.testcode.BenchmarkTest00563,BenchmarkTest00563,doPost,Random() called
rule_R18,org.owasp.benchmark.testcode.BenchmarkTest00299,BenchmarkTest00299,doPost,Random() called
rule_R18,org.owasp.benchmark.testcode.BenchmarkTest02338,BenchmarkTest02338,doPost,Random() called
rule_R18,org.owasp.benchmark.testcode.BenchmarkTest02706,BenchmarkTest02706,doPost,Random() called
rule_R18,org.owasp.benchmark.testcode.BenchmarkTest02605,BenchmarkTest02605,doPost,Random() called
rule_R18,org.owasp.benchmark.testcode.BenchmarkTest02605,BenchmarkTest02605,doGet,Random() called
rule_R02,org.owasp.benchmark.testcode.BenchmarkTest00035,BenchmarkTest00035,doPost,algorithm: DES/ECB/PKCS5Padding
rule_R02,org.owasp.benchmark.testcode.BenchmarkTest01637,BenchmarkTest01637,doPost,algorithm: DES/CBC/PKCS5Padding
rule_R02,org.owasp.benchmark.testcode.BenchmarkTest01637,BenchmarkTest01637,doGet,algorithm: DES/CBC/PKCS5Padding
rule_R03,org.owasp.benchmark.testcode.BenchmarkTest01980,BenchmarkTest01980,doPost,out bytes: 24 with DES/ECB/PKCS5Padding
rule_R18,org.owasp.benchmark.testcode.BenchmarkTest01131,BenchmarkTest01131,doPost,Random() called
rule_R18,org.owasp.benchmark.testcode.BenchmarkTest02708,BenchmarkTest02708,doPost,Random() called
rule_R01,org.owasp.benchmark.testcode.BenchmarkTest00536,BenchmarkTest00536,doPost,algorithm: MD5
rule_R18,org.owasp.benchmark.testcode.BenchmarkTest02060,BenchmarkTest02060,doPost,Random() called
rule_R02,org.owasp.benchmark.testcode.BenchmarkTest00257,BenchmarkTest00257,doPost,algorithm: DES/CBC/PKCS5Padding
rule_R02,org.owasp.benchmark.testcode.BenchmarkTest01148,BenchmarkTest01148,doPost,algorithm: DES/CBC/PKCS5Padding
rule_R02,org.owasp.benchmark.testcode.BenchmarkTest00354,BenchmarkTest00354,doPost,algorithm: DES/ECB/PKCS5Padding
rule_R18,org.owasp.benchmark.testcode.BenchmarkTest00398,BenchmarkTest00398,doPost,Random() called
rule_R01,org.owasp.benchmark.testcode.BenchmarkTest01165,BenchmarkTest01165,doPost,algorithm: SHA1
rule_R02,org.owasp.benchmark.testcode.BenchmarkTest00685,BenchmarkTest00685,doPost,algorithm: DES/CBC/PKCS5PADDING
rule_R01,org.owasp.benchmark.testcode.BenchmarkTest00227,BenchmarkTest00227,doPost,algorithm: MD5
rule_R03,org.owasp.benchmark.testcode.BenchmarkTest01230,BenchmarkTest01230,doPost,out bytes: 24 with DES/ECB/PKCS5Padding
rule_R18,org.owasp.benchmark.testcode.BenchmarkTest00489,BenchmarkTest00489,doPost,Random() called
rule_R18,org.owasp.benchmark.testcode.BenchmarkTest02140,BenchmarkTest02140,doPost,Random() called
rule_R02,org.owasp.benchmark.testcode.BenchmarkTest00019,BenchmarkTest00019,doPost,algorithm: DES/ECB/PKCS5Padding
rule_R01,org.owasp.benchmark.testcode.BenchmarkTest01168,BenchmarkTest01168,doPost,algorithm: MD5
