spec,error,class,className,method,cwe
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest00059,BenchmarkTest00059,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest00127,BenchmarkTest00127,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest00128,BenchmarkTest00128,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest00129,BenchmarkTest00129,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest00130,BenchmarkTest00130,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest00213,BenchmarkTest00213,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest00214,BenchmarkTest00214,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest00357,BenchmarkTest00357,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest00358,BenchmarkTest00358,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest00450,BenchmarkTest00450,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest00451,BenchmarkTest00451,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest00524,BenchmarkTest00524,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest00618,BenchmarkTest00618,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest01021,BenchmarkTest01021,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest01022,BenchmarkTest01022,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest01108,BenchmarkTest01108,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest01153,BenchmarkTest01153,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest01401,BenchmarkTest01401,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest01567,BenchmarkTest01567,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest01901,BenchmarkTest01901,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest01982,BenchmarkTest01982,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest02024,BenchmarkTest02024,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest02103,BenchmarkTest02103,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest02296,BenchmarkTest02296,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest02297,BenchmarkTest02297,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest02298,BenchmarkTest02298,-,327
1,Found: AES/ECB/PKCS5Padding,BenchmarkTest02552,BenchmarkTest02552,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest00053,BenchmarkTest00053,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest00119,BenchmarkTest00119,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest00120,BenchmarkTest00120,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest00254,BenchmarkTest00254,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest00521,BenchmarkTest00521,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest00608,BenchmarkTest00608,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest00609,BenchmarkTest00609,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest00610,BenchmarkTest00610,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest00611,BenchmarkTest00611,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest00684,BenchmarkTest00684,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest00685,BenchmarkTest00685,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest00853,BenchmarkTest00853,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest01015,BenchmarkTest01015,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest01099,BenchmarkTest01099,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest01317,BenchmarkTest01317,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest01318,BenchmarkTest01318,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest01480,BenchmarkTest01480,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest01634,BenchmarkTest01634,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest01822,BenchmarkTest01822,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest01823,BenchmarkTest01823,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest02017,BenchmarkTest02017,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest02018,BenchmarkTest02018,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest02019,BenchmarkTest02019,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest02458,BenchmarkTest02458,-,327
1,Found: DES/CBC/PKCS5PADDING,BenchmarkTest02658,BenchmarkTest02658,-,327
1,Found: DES/CBC/PKCS5Padding,BenchmarkTest00005,BenchmarkTest00005,-,327
1,Found: DES/CBC/PKCS5Padding,BenchmarkTest00020,BenchmarkTest00020,-,327
1,Found: DES/CBC/PKCS5Padding,BenchmarkTest00050,BenchmarkTest00050,-,327
1,Found: DES/CBC/PKCS5Padding,BenchmarkTest00055,BenchmarkTest00055,-,327
1,Found: DES/CBC/PKCS5Padding,BenchmarkTest00056,BenchmarkTest00056,-,327
1,Found: DES/CBC/PKCS5Padding,BenchmarkTest00057,BenchmarkTest00057,-,327
1,Found: DES/CBC/PKCS5Padding,BenchmarkTest00123,BenchmarkTest00123,-,327
1,Found: DES/CBC/PKCS5Padding,BenchmarkTest00124,BenchmarkTest00124,-,327
1,Found: DES/CBC/PKCS5Padding,BenchmarkTest00125,BenchmarkTest00125,-,327
1,Found: DES/CBC/PKCS5Padding,BenchmarkTest00208,BenchmarkTest00208,-,327
