spec,cwe,error,class,className,method
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00053,BenchmarkTest00053,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00119,BenchmarkTest00119,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00120,BenchmarkTest00120,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00254,BenchmarkTest00254,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00521,BenchmarkTest00521,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00608,BenchmarkTest00608,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00609,BenchmarkTest00609,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00610,BenchmarkTest00610,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00611,BenchmarkTest00611,doPost
CipherSpec,327,"First parameter (with value 'DES/CBC/PKCS5PADDING') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",WEB-INF.classes.org.owasp.benchmark.testcode.BenchmarkTest00684,BenchmarkTest00684,doPost
