spec,error,class,className,method,cwe
5,"Found: ""1024""",InsecureAsymmetricCipherABICase3,InsecureAsymmetricCipherABICase3,-,327
5,"Found: ""1024""",InsecureAsymmetricCipherABICase1,InsecureAsymmetricCipherABICase1,-,327
5,"Found: ""1024""",InsecureAsymmetricCipherBBCase1,InsecureAsymmetricCipherBBCase1,-,327
5,"Found: ""1024""",InsecureAsymmetricCipherABMCCase1,InsecureAsymmetricCipherABMCCase1,-,327
5,"Found: ""1024""",InsecureAsymmetricCipherABPSCase1,InsecureAsymmetricCipherABPSCase1,-,327
1,"Found: ""DES/ECB/PKCS5Padding""",BrokenCryptoABMCCase1,BrokenCryptoABMCCase1,-,327
1,"Found: ""RC2""",BrokenCryptoABMCCase4,BrokenCryptoABMCCase4,-,327
1,"Found: ""RC2""",BrokenCryptoABSCase4,BrokenCryptoABSCase4,-,327
1,"Found: ""Blowfish""",BrokenCryptoBBCase2,BrokenCryptoBBCase2,-,327
1,"Found: ""DES""",BrokenCryptoABPSCase5,BrokenCryptoABPSCase5,-,327
1,"Found: ""RC2""",BrokenCryptoABPSCase4,BrokenCryptoABPSCase4,-,327
1,"Found: ""DES/ECB/PKCS5Padding""",BrokenCryptoABICase11,BrokenCryptoABICase11,-,327
1,"Found: ""RC4""",BrokenCryptoABSCase3,BrokenCryptoABSCase3,-,327
1,"Found: ""AES/ECB/PKCS5Padding""",EcbInSymmCryptoABPSCase1,EcbInSymmCryptoABPSCase1,-,327
1,"Found: ""AES/ECB/PKCS5Padding""",EcbInSymmCryptoABICase2,EcbInSymmCryptoABICase2,-,327
1,"Found: ""RC4""",BrokenCryptoABMCCase3,BrokenCryptoABMCCase3,-,1391
1,"Found: ""AES/ECB/PKCS5Padding""",EcbInSymmCryptoABMCCase1,EcbInSymmCryptoABMCCase1,-,327
1,"Found: ""DES""",BrokenCryptoABICase15,BrokenCryptoABICase15,-,327
1,"Found: ""RC2""",BrokenCryptoABICase14,BrokenCryptoABICase14,-,327
1,"Found: ""RC4""",BrokenCryptoABICase13,BrokenCryptoABICase13,-,327
1,"Found: ""DES/ECB/PKCS5Padding""",BrokenCryptoABPSCase1,BrokenCryptoABPSCase1,-,327
