spec,error,class,className,method
PBEParameterSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.staticsalts.StaticSaltsABMC1,StaticSaltsABMC1,key2
SecureRandomSpec,UnsatisfiedConstraint,setSeed() expects a randomized byte array.br.unb.cic.mop.bench02.predictableseeds.PredictableSeedsABHCase2.main(PredictableSeedsABHCase2.java:19),java:19),setSeed() expects a randomized byte array.br.unb.cic.mop.bench02.predictableseeds.PredictableSeedsABHCase2.main(PredictableSeedsABHCase2.java:19)
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase8,BrokenHashABICase8,go
SecretKeySpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.credentialinstring.CredentialInStringABHCase1,CredentialInStringABHCase1,main
KeyPairGeneratorSpec,InvalidKeySize,br.unb.cic.mop.bench02.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase1,InsecureAsymmetricCipherABICase1,go
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase10,BrokenHashABICase10,method1
PBEKeySpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.predictablepbepassword.CryptoPredictablePBE,CryptoPredictablePBE,method1
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.Crypto5,Crypto5,encrypt
SecretKeySpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.predictablecryptographickey.PredictableCryptographicKeyABICase3,PredictableCryptographicKeyABICase3,method2
KeyPairSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.insecureasymmetriccrypto.InsecureAsymmetricCipherBBCase1,InsecureAsymmetricCipherBBCase1,go
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.CryptoHash2,CryptoHash2,encrypt
PBEParameterSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.untrustedprng.UntrustedPRNGCase1,UntrustedPRNGCase1,main
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase7,BrokenCryptoABICase7,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC4,BrokenCryptoABMC4,go
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.ecbcrypto.EcbInSymmCryptoABICase2,EcbInSymmCryptoABICase2,go
MacSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenmac.BrokenMacBBCase1,BrokenMacBBCase1,main
SecretKeySpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.predictablecryptographickey.PredictableCryptographicKeyBBCase1,PredictableCryptographicKeyBBCase1,main
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashABMC3,BrokenHashABMC3,go
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.ecbcrypto.EcbInSymmCryptoBBCase1,EcbInSymmCryptoBBCase1,go
SecretKeySpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.predictablecryptographickey.PredictableCryptographicKeyABMC1,PredictableCryptographicKeyABMC1,go
PBEParameterSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.staticsalts.StaticSaltsABICase3,StaticSaltsABICase3,method2
IvParameterSpecSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.staticinitializationvector.StaticInitializationVectorABICase2,StaticInitializationVectorABICase2,go
KeyPairGeneratorSpec,InvalidKeySize,br.unb.cic.mop.bench02.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase3,InsecureAsymmetricCipherABICase3,method1
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoBBCase1,BrokenCryptoBBCase1,go
SecretKeySpec,UnsatisfiedConstraint,br.unb.cic.mop.bench02.predictablecryptographickey.PredictableCryptographicKeyABICase2,PredictableCryptographicKeyABICase2,go
PBEParameterSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.pbeiteration.LessThan1000IterationPBEABHCase1,LessThan1000IterationPBEABHCase1,key2
PBEKeySpec,UnsatisfiedConstraint,first argument should have been randomized br.unb.cic.mop.bench02.predictablepbepassword.PredictablePBEPasswordBBCase2.key(PredictablePBEPasswordBBCase2.java:22),java:22),first argument should have been randomized br.unb.cic.mop.bench02.predictablepbepassword.PredictablePBEPasswordBBCase2.key(PredictablePBEPasswordBBCase2.java:22)
SecretKeySpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.credentialinstring.CredentialInStringABICase2,CredentialInStringABICase2,go
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.Crypto6,Crypto6,encrypt
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashABICase11,BrokenHashABICase11,method1
SecureRandomSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.predictableseeds.CryptoPredictableSeed2,CryptoPredictableSeed2,method1
CipherSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.ecbcrypto.EcbInSymmCryptoABICase3,EcbInSymmCryptoABICase3,method1
MessageDigestSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokenhash.CryptoHash1,CryptoHash1,encrypt
PBEKeySpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.predictablepbepassword.PredictablePBEPasswordABICase2,PredictablePBEPasswordABICase2,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC3,BrokenCryptoABMC3,go
KeyGeneratorSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase6,BrokenCryptoABICase6,go
KeyGeneratorSpec,UnsafeAlgorithm,br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoBBCase2,BrokenCryptoBBCase2,go
PBEKeySpec,UnsatisfiedConstraint,first argument should have been randomized br.unb.cic.mop.bench02.predictablepbepassword.CryptoPredictablePBE.method1(PredictablePBEPasswordABSCase1.java:38),java:38),first argument should have been randomized br.unb.cic.mop.bench02.predictablepbepassword.CryptoPredictablePBE.method1(PredictablePBEPasswordABSCase1.java:38)
MessageDigestSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenhash.BrokenHashABMC4,BrokenHashABMC4,go
MacSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.brokenmac.BrokenMacBBCase2,BrokenMacBBCase2,main
PBEKeySpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.predictablepbepassword.PredictablePBEPasswordABICase1,PredictablePBEPasswordABICase1,go
IvParameterSpecSpec,InvalidSequenceOfMethodCalls,br.unb.cic.mop.bench02.staticinitializationvector.StaticInitializationVectorABMC1,StaticInitializationVectorABMC1,go
