spec,error,class,className,method
KeyGeneratorSpec,"First parameter (with value 'RC2') should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase4,BrokenCryptoABICase4,go
CipherSpec,"First parameter (with value 'RC2') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase4,BrokenCryptoABICase4,go
CipherSpec,"Operation on object of type javax.crypto.Cipher object not completed. Expected call to update, wrap, doFinal. IncompleteOperationError violating CrySL rule for javax.crypto.Cipher.",br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase4,BrokenCryptoABICase4,go
CipherSpec,"Operation on object of type javax.crypto.Cipher object not completed. Expected call to update, wrap, doFinal. IncompleteOperationError violating CrySL rule for javax.crypto.Cipher.",br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase15,BrokenCryptoABICase15,method1
KeyGeneratorSpec,"First parameter (with value 'IDEA') should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase15,BrokenCryptoABICase15,method1
CipherSpec,"First parameter (with value 'IDEA') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase15,BrokenCryptoABICase15,method1
CipherSpec,"First parameter (with value 'Blowfish') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABPSCase2,BrokenCryptoABPSCase2,go
CipherSpec,"Operation on object of type javax.crypto.Cipher object not completed. Expected call to update, wrap, doFinal. IncompleteOperationError violating CrySL rule for javax.crypto.Cipher.",br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABPSCase2,BrokenCryptoABPSCase2,go
CipherSpec,"Operation on object of type javax.crypto.Cipher object not completed. Expected call to update, wrap, doFinal. IncompleteOperationError violating CrySL rule for javax.crypto.Cipher.",br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABPSCase2,BrokenCryptoABPSCase2,go
CipherSpec,"First parameter (with value 'Blowfish') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",br.unb.cic.mop.bench02.brokencrypto.Crypto3,Crypto3,encrypt
KeyGeneratorSpec,"First parameter (with value 'Blowfish') should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",br.unb.cic.mop.bench02.brokencrypto.Crypto3,Crypto3,encrypt
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",br.unb.cic.mop.bench02.brokencrypto.Crypto3,Crypto3,encrypt
CipherSpec,"Operation on object of type javax.crypto.Cipher object not completed. Expected call to update, wrap, doFinal. IncompleteOperationError violating CrySL rule for javax.crypto.Cipher.",br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC5,BrokenCryptoABMC5,go
CipherSpec,"First parameter (with value 'IDEA') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC5,BrokenCryptoABMC5,go
KeyGeneratorSpec,"First parameter (with value 'IDEA') should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC5,BrokenCryptoABMC5,go
CipherSpec,"Operation on object of type javax.crypto.Cipher object not completed. Expected call to update, wrap, doFinal. IncompleteOperationError violating CrySL rule for javax.crypto.Cipher.",br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase6,BrokenCryptoABICase6,go
CipherSpec,"First parameter (with value 'DES/ECB/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC1,BrokenCryptoABMC1,go
CipherSpec,"Operation on object of type javax.crypto.Cipher object not completed. Expected call to update, wrap, doFinal. IncompleteOperationError violating CrySL rule for javax.crypto.Cipher.",br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC1,BrokenCryptoABMC1,go
KeyGeneratorSpec,"First parameter (with value 'DES') should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABMC1,BrokenCryptoABMC1,go
CipherSpec,"First parameter (with value 'RC4') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase13,BrokenCryptoABICase13,method1
KeyGeneratorSpec,"First parameter (with value 'RC4') should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase13,BrokenCryptoABICase13,method1
CipherSpec,"Operation on object of type javax.crypto.Cipher object not completed. Expected call to update, wrap, doFinal. IncompleteOperationError violating CrySL rule for javax.crypto.Cipher.",br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase13,BrokenCryptoABICase13,method1
KeyGeneratorSpec,"First parameter (with value 'Blowfish') should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase2,BrokenCryptoABICase2,go
CipherSpec,"First parameter (with value 'Blowfish') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase2,BrokenCryptoABICase2,go
CipherSpec,"Operation on object of type javax.crypto.Cipher object not completed. Expected call to update, wrap, doFinal. IncompleteOperationError violating CrySL rule for javax.crypto.Cipher.",br.unb.cic.mop.bench02.brokencrypto.BrokenCryptoABICase2,BrokenCryptoABICase2,go
