Spec,Class,ClassName,method,message,cwe
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,getCipher,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,getCipher,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,decrypt,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,decrypt,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,getCipher,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,getCipher,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,decrypt,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,decrypt,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,getCipher,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,getCipher,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,decrypt,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,decrypt,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,deobfuscate,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,deobfuscate,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,getCipher,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,getCipher,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,decrypt,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,decrypt,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,deobfuscate,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,deobfuscate,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,getCipher,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,getCipher,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,encrypt,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,encrypt,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,obfuscate,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,obfuscate,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,getCipher,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,getCipher,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,encrypt,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,encrypt,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,obfuscate,algorithm: SHA1,328
rule_R01,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,obfuscate,algorithm: SHA1,328
rule_R04,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,getCipher,algorithm: AES/CBC/PKCS5Padding,327
rule_R04,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,getCipher,algorithm: AES/CBC/PKCS5Padding,327
rule_R04,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,decrypt,algorithm: AES/CBC/PKCS5Padding,327
rule_R04,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,decrypt,algorithm: AES/CBC/PKCS5Padding,327
rule_R04,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,deobfuscate,algorithm: AES/CBC/PKCS5Padding,327
rule_R04,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,deobfuscate,algorithm: AES/CBC/PKCS5Padding,327
rule_R04,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,getCipher,algorithm: AES/CBC/PKCS5Padding,327
rule_R04,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,getCipher,algorithm: AES/CBC/PKCS5Padding,327
rule_R04,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,decrypt,algorithm: AES/CBC/PKCS5Padding,327
rule_R04,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,decrypt,algorithm: AES/CBC/PKCS5Padding,327
rule_R04,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,getCipher,algorithm: AES/CBC/PKCS5Padding,327
rule_R04,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,getCipher,algorithm: AES/CBC/PKCS5Padding,327
rule_R04,org.apache.manifoldcf.core.system.ManifoldCF,ManifoldCF,encrypt,algorithm: AES/CBC/PKCS5Padding,327
