spec,class,className,method,location,error
SSLContextSpec,org.apache.tomcat.util.net.jsse.JSSESSLContext,JSSESSLContext,<init>,JSSESSLContext.java:45,InvalidSequenceOfMethodCalls
SSLContextSpec,org.apache.tomcat.util.net.jsse.JSSESSLContext,JSSESSLContext,init,JSSESSLContext.java:53,UnsafeProtocol
SSLContextSpec,org.apache.tomcat.util.net.jsse.JSSESSLContext,JSSESSLContext,init,JSSESSLContext.java:53,InvalidSequenceOfMethodCalls
KeyManagerFactorySpec,org.apache.tomcat.util.net.SSLUtilBase,SSLUtilBase,getKeyManagers,SSLUtilBase.java:370,UnsafeAlgorithm
SecureRandomSpec,org.apache.catalina.util.SessionIdGeneratorBase,SessionIdGeneratorBase,getRandomBytes,SessionIdGeneratorBase.java:205,InvalidSequenceOfMethodCalls
MessageDigestSpec,org.hsqldb.rights.GranteeManager,GranteeManager,digest,Unknown Source,UnsafeAlgorithm
MessageDigestSpec,org.hsqldb.rights.GranteeManager,GranteeManager,digest,Unknown Source,InvalidSequenceOfMethodCalls
MessageDigestSpec,org.owasp.benchmark.testcode.BenchmarkTest00003,BenchmarkTest00003,doPost,BenchmarkTest00003.java:86,UnsafeAlgorithm
MessageDigestSpec,org.owasp.benchmark.testcode.BenchmarkTest00003,BenchmarkTest00003,doPost,BenchmarkTest00003.java:86,InvalidSequenceOfMethodCalls
MessageDigestSpec,org.owasp.benchmark.testcode.BenchmarkTest00003,BenchmarkTest00003,doPost,BenchmarkTest00003.java:88,InvalidSequenceOfMethodCalls
KeyGeneratorSpec,org.owasp.benchmark.testcode.BenchmarkTest00005,BenchmarkTest00005,doPost,BenchmarkTest00005.java:66,UnsafeAlgorithm
KeyGeneratorSpec,org.owasp.benchmark.testcode.BenchmarkTest00005,BenchmarkTest00005,doPost,BenchmarkTest00005.java:66,InvalidSequenceOfMethodCalls
CipherSpec,org.owasp.benchmark.testcode.BenchmarkTest00005,BenchmarkTest00005,doPost,BenchmarkTest00005.java:86,InvalidSequenceOfMethodCalls
MessageDigestSpec,org.owasp.benchmark.testcode.BenchmarkTest00009,BenchmarkTest00009,doPost,BenchmarkTest00009.java:86,UnsafeAlgorithm
MessageDigestSpec,org.owasp.benchmark.testcode.BenchmarkTest00009,BenchmarkTest00009,doPost,BenchmarkTest00009.java:86,InvalidSequenceOfMethodCalls
MessageDigestSpec,org.owasp.benchmark.testcode.BenchmarkTest00009,BenchmarkTest00009,doPost,BenchmarkTest00009.java:88,InvalidSequenceOfMethodCalls
KeyGeneratorSpec,org.owasp.benchmark.testcode.BenchmarkTest00019,BenchmarkTest00019,doPost,BenchmarkTest00019.java:54,UnsafeAlgorithm
KeyGeneratorSpec,org.owasp.benchmark.testcode.BenchmarkTest00019,BenchmarkTest00019,doPost,BenchmarkTest00019.java:54,InvalidSequenceOfMethodCalls
CipherSpec,org.owasp.benchmark.testcode.BenchmarkTest00019,BenchmarkTest00019,doPost,BenchmarkTest00019.java:72,InvalidSequenceOfMethodCalls
KeyGeneratorSpec,org.owasp.benchmark.testcode.BenchmarkTest00020,BenchmarkTest00020,doPost,BenchmarkTest00020.java:61,UnsafeAlgorithm
KeyGeneratorSpec,org.owasp.benchmark.testcode.BenchmarkTest00020,BenchmarkTest00020,doPost,BenchmarkTest00020.java:61,InvalidSequenceOfMethodCalls
CipherSpec,org.owasp.benchmark.testcode.BenchmarkTest00020,BenchmarkTest00020,doPost,BenchmarkTest00020.java:81,InvalidSequenceOfMethodCalls
MessageDigestSpec,org.owasp.benchmark.testcode.BenchmarkTest00029,BenchmarkTest00029,doPost,BenchmarkTest00029.java:71,UnsafeAlgorithm
MessageDigestSpec,org.owasp.benchmark.testcode.BenchmarkTest00029,BenchmarkTest00029,doPost,BenchmarkTest00029.java:71,InvalidSequenceOfMethodCalls
MessageDigestSpec,org.owasp.benchmark.testcode.BenchmarkTest00029,BenchmarkTest00029,doPost,BenchmarkTest00029.java:73,InvalidSequenceOfMethodCalls
KeyGeneratorSpec,org.owasp.benchmark.testcode.BenchmarkTest00035,BenchmarkTest00035,doPost,BenchmarkTest00035.java:69,UnsafeAlgorithm
KeyGeneratorSpec,org.owasp.benchmark.testcode.BenchmarkTest00035,BenchmarkTest00035,doPost,BenchmarkTest00035.java:69,InvalidSequenceOfMethodCalls
CipherSpec,org.owasp.benchmark.testcode.BenchmarkTest00035,BenchmarkTest00035,doPost,BenchmarkTest00035.java:87,InvalidSequenceOfMethodCalls
MessageDigestSpec,org.owasp.benchmark.testcode.BenchmarkTest00046,BenchmarkTest00046,doPost,BenchmarkTest00046.java:65,UnsafeAlgorithm
MessageDigestSpec,org.owasp.benchmark.testcode.BenchmarkTest00046,BenchmarkTest00046,doPost,BenchmarkTest00046.java:65,InvalidSequenceOfMethodCalls
MessageDigestSpec,org.owasp.benchmark.testcode.BenchmarkTest00046,BenchmarkTest00046,doPost,BenchmarkTest00046.java:67,InvalidSequenceOfMethodCalls
KeyGeneratorSpec,org.owasp.benchmark.testcode.BenchmarkTest00050,BenchmarkTest00050,doPost,BenchmarkTest00050.java:62,UnsafeAlgorithm
KeyGeneratorSpec,org.owasp.benchmark.testcode.BenchmarkTest00050,BenchmarkTest00050,doPost,BenchmarkTest00050.java:62,InvalidSequenceOfMethodCalls
CipherSpec,org.owasp.benchmark.testcode.BenchmarkTest00050,BenchmarkTest00050,doPost,BenchmarkTest00050.java:82,InvalidSequenceOfMethodCalls
KeyGeneratorSpec,org.owasp.benchmark.testcode.BenchmarkTest00053,BenchmarkTest00053,doPost,BenchmarkTest00053.java:88,UnsafeAlgorithm
KeyGeneratorSpec,org.owasp.benchmark.testcode.BenchmarkTest00053,BenchmarkTest00053,doPost,BenchmarkTest00053.java:88,InvalidSequenceOfMethodCalls
CipherSpec,org.owasp.benchmark.testcode.BenchmarkTest00053,BenchmarkTest00053,doPost,BenchmarkTest00053.java:108,InvalidSequenceOfMethodCalls
CipherSpec,org.owasp.benchmark.testcode.BenchmarkTest00054,BenchmarkTest00054,doPost,BenchmarkTest00054.java:88,UnsafeAlgorithm
CipherSpec,org.owasp.benchmark.testcode.BenchmarkTest00054,BenchmarkTest00054,doPost,BenchmarkTest00054.java:88,InvalidSequenceOfMethodCalls
