spec,error,class,className,method
MessageDigestSpec,"Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update. IncompleteOperationError violating CrySL rule for java.security.MessageDigest.",BenchmarkTest01997,BenchmarkTest01997,doPost
MessageDigestSpec,"Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update. IncompleteOperationError violating CrySL rule for java.security.MessageDigest.",BenchmarkTest02678,BenchmarkTest02678,doPost
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",BenchmarkTest01898,BenchmarkTest01898,doPost
CipherSpec,"Operation on object of type javax.crypto.Cipher object not completed. Expected call to update, wrap, doFinal. IncompleteOperationError violating CrySL rule for javax.crypto.Cipher.",BenchmarkTest01898,BenchmarkTest01898,doPost
KeyGeneratorSpec,"First parameter (with value 'DES') should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",BenchmarkTest01898,BenchmarkTest01898,doPost
CipherSpec,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",BenchmarkTest01898,BenchmarkTest01898,doPost
MessageDigestSpec,"Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update. IncompleteOperationError violating CrySL rule for java.security.MessageDigest.",BenchmarkTest02390,BenchmarkTest02390,doPost
MessageDigestSpec,"Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update. IncompleteOperationError violating CrySL rule for java.security.MessageDigest.",BenchmarkTest01845,BenchmarkTest01845,doPost
MessageDigestSpec,"Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update. IncompleteOperationError violating CrySL rule for java.security.MessageDigest.",BenchmarkTest01845,BenchmarkTest01845,doPost
MessageDigestSpec,"Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update. IncompleteOperationError violating CrySL rule for java.security.MessageDigest.",BenchmarkTest01845,BenchmarkTest01845,doPost
MessageDigestSpec,"Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update. IncompleteOperationError violating CrySL rule for java.security.MessageDigest.",BenchmarkTest01845,BenchmarkTest01845,doPost
MessageDigestSpec,"First parameter (with value 'SHA1') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",BenchmarkTest01845,BenchmarkTest01845,doPost
MessageDigestSpec,"First parameter (with value 'SHA1') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",BenchmarkTest01845,BenchmarkTest01845,doPost
CipherSpec,"Operation on object of type javax.crypto.Cipher object not completed. Expected call to update, wrap, doFinal. IncompleteOperationError violating CrySL rule for javax.crypto.Cipher.",BenchmarkTest01638,BenchmarkTest01638,doPost
CipherSpec,"Second parameter was not properly generated as generated Key. RequiredPredicateError violating CrySL rule for javax.crypto.Cipher.",BenchmarkTest01638,BenchmarkTest01638,doPost
KeyGeneratorSpec,"First parameter (with value 'DES') should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512}. ConstraintError violating CrySL rule for javax.crypto.KeyGenerator.",BenchmarkTest01638,BenchmarkTest01638,doPost
CipherSpec,"First parameter (with value 'DES/CBC/PKCS5Padding') should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",BenchmarkTest01638,BenchmarkTest01638,doPost
CipherSpec,"Operation on object of type javax.crypto.Cipher object not completed. Expected call to update, wrap, doFinal. IncompleteOperationError violating CrySL rule for javax.crypto.Cipher.",BenchmarkTest02103,BenchmarkTest02103,doPost
CipherSpec,"Operation on object of type javax.crypto.Cipher object not completed. Expected call to update, wrap, doFinal. IncompleteOperationError violating CrySL rule for javax.crypto.Cipher.",BenchmarkTest01975,BenchmarkTest01975,doPost
CipherSpec,"Operation on object of type javax.crypto.Cipher object not completed. Expected call to update, wrap, doFinal. IncompleteOperationError violating CrySL rule for javax.crypto.Cipher.",BenchmarkTest00778,BenchmarkTest00778,doPost
MessageDigestSpec,"First parameter (with value 'SHA1') should be any of {SHA-256, SHA-384, SHA-512}. ConstraintError violating CrySL rule for java.security.MessageDigest.",BenchmarkTest00223,BenchmarkTest00223,doPost
MessageDigestSpec,"Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update. IncompleteOperationError violating CrySL rule for java.security.MessageDigest.",BenchmarkTest00223,BenchmarkTest00223,doPost
