spec,error,class,className,method
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",main.java.org.cambench.cap.basic.ecbmode.EcbMode1,EcbMode1,main
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",main.java.org.cambench.cap.contextsensitivity.truepositive.ecbmode.EcbMode1,EcbMode1,main
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",main.java.org.cambench.cap.fieldsensitivity.truepositive.ecbmode.EcbMode1,EcbMode1,main
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",main.java.org.cambench.cap.flowsensitivity.truepositive.ecbmode.EcbMode1,EcbMode1,main
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",main.java.org.cambench.cap.interprocedural2.truepositive.ecbmode.EcbMode1,EcbMode1,method1
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",main.java.org.cambench.cap.interprocedural3.truepositive.ecbmode.EcbMode1,EcbMode1,method2
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",main.java.org.cambench.cap.mixedsensitivities.contextflow.truepositive.ecbmode.EcbMode1,EcbMode1,main
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",main.java.org.cambench.cap.mixedsensitivities.contextpath.truepositive.ecbmode.EcbMode1,EcbMode1,main
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",main.java.org.cambench.cap.mixedsensitivities.fieldflow.truepositive.ecbmode.EcbMode1,EcbMode1,main
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",main.java.org.cambench.cap.mixedsensitivities.fieldobject.truepositive.ecbmode.EcbMode1,EcbMode1,main
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",main.java.org.cambench.cap.mixedsensitivities.fieldpath.falsepositive.ecbmode.EcbMode1,EcbMode1,main
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",main.java.org.cambench.cap.mixedsensitivities.flowpath.falsepositive.ecbmode.EcbMode1,EcbMode1,main
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",main.java.org.cambench.cap.mixedsensitivities.inter2context.truepositive.ecbmode.EcbMode1,EcbMode1,method1
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",main.java.org.cambench.cap.mixedsensitivities.inter2field.truepositive.ecbmode.EcbMode1,EcbMode1,method1
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",main.java.org.cambench.cap.mixedsensitivities.inter2flow.truepositive.ecbmode.EcbMode1,EcbMode1,method1
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",main.java.org.cambench.cap.mixedsensitivities.inter2object.truepositive.ecbmode.EcbMode1,EcbMode1,method1
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",main.java.org.cambench.cap.mixedsensitivities.inter2path.truepositive.ecbmode.EcbMode1,EcbMode1,method1
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",main.java.org.cambench.cap.mixedsensitivities.objectpath.truepositive.ecbmode.EcbMode1,EcbMode1,main
CipherSpec,"First parameter (with value 'AES/ECB/PKCS5Padding') should be any of AES/{CBC, CCM, GCM, PCBC, CTR, CTS, CFB, OFB}. ConstraintError violating CrySL rule for javax.crypto.Cipher.",main.java.org.cambench.cap.objectsensitivity.truepositive.ecbmode.EcbMode1,EcbMode1,main
